"canonical_sciname","id","species_authority","image","notes","authority_year","parens_auth_genus","taxon_author","parens_auth_species","genus_authority","deprecated_scientific","subspecies","source","species","taxon_credit","taxon_credit_date","common_name","citation","image_credit","image_license","entry","common_name_source","image_caption","species_authority_citation","genus_authority_citation","simple_linnean_group","simple_linnean_group_alt","major_type","major_subtype","simple_linnean_subgroup","linnean_order","linnean_family","linnean_subfamily","linnean_tribe","genus","juniorSynonym","synonymOf","TaxonomyNotes","TaxonomyNotes_Citation","extinct","geo_distribution","authority_fullcitation","authority_link","MDDv1","internal_id","newSppSinceMSW3","IfNew_category","IfNew_evidenceCitation","IfNew_evidenceAuthors","IfNew_evidenceYear","IfNew_evidenceLink","IfNew_nameCitation","IfNew_nameAuthors","IfNew_nameYear","IfNew_nameLink","genusTransfersinceMSW3","IfTransfer_oldSciName","IfTransfer_oldIUCN_ID","IfTransfer_evidenceCitation"
"Abrocoma vaccarum","3501","Thomas","null","NULL","{""1921"":1921}","false","null","false","Thomas","null","null","iucn","vaccarum","null","null","Mendozan Chinchilla Rat","NULL","null","null","null","iucn","null","null","null","eutheria","placentalia","placentalia","boreoeutheria","rodents","rodentia","abrocomidae","","","abrocoma","false","","","","false","neotropics","","","true","136546","false","","","","","","","","","","false","NA","",""
"Abrothrix andina","6045","Philippi","null","spelt &#39;andina&#39; to match generic gender","{""1837"":1858}","false","null","false","Waterhouse","null","null","null","andina","null","null","NULL","Patton, J. L., Pardiñas, U. F., & D'Elía, G. (2015). Mammals of south america, volume 2: Rodents (Vol. 2). University of Chicago Press.","null","null","null","null","null","null","null","null","placentalia","placentalia","boreoeutheria","rodents","rodentia","cricetidae","sigmodontinae","abrothrichini","abrothrix","false","","spelt 'andina' to match generic gender","patton, j. l., pardiñas, u. f., & d'elía, g. (2015). mammals of south america, volume 2: rodents (vol. 2). university of chicago press.","false","neotropics","","","true","400000002","false","","","","","","","","","","false","NA","",""
"Abrothrix hershkovitzi","3591","Petterson, Gallardo, & Freas","null","NULL","{""1837"":1984}","false","null","false","Waterhouse","null","null","iucn","hershkovitzi","null","null","NULL","NULL","null","null","null","iucn","null","null","null","eutheria","placentalia","placentalia","boreoeutheria","rodents","rodentia","cricetidae","sigmodontinae","abrothrichini","abrothrix","false","","","","false","neotropics","","","true","734","false","","","","","","","","","","false","NA","",""
"Abrothrix hirta","6047","Thomas","null","split from A. longipilis based on morphological variation","{""1837"":1897}","false","null","false","Waterhouse","null","null","null","hirta","null","null","NULL","Teta, P., & Pardiñas, U. F. (2014). Variación morfológica cualitativa y cuantitativa en Abrothrix longipilis (Cricetidae, Sigmodontinae). Mastozoología neotropical, 21(2), 291-309.","null","null","null","null","null","null","null","null","placentalia","placentalia","boreoeutheria","rodents","rodentia","cricetidae","sigmodontinae","abrothrichini","abrothrix","false","","split from a. longipilis based on morphological variation","teta, p., & pardiñas, u. f. (2014). variación morfológica cualitativa y cuantitativa en abrothrix longipilis (cricetidae, sigmodontinae). mastozoología neotropical, 21(2), 291-309.","false","neotropics","","","true","100000368","true","split","Teta, P., & Pardiñas, U. F. (2014). Variación morfológica cualitativa y cuantitativa en Abrothrix longipilis (Cricetidae, Sigmodontinae). Mastozoología neotropical, 21(2), 291-309.","Teta, P., & Pardiñas, U F","2014","https://www.sarem.org.ar/wp-content/uploads/2014/12/SAREM MastNeotrop 21-2 09 Teta.pdf","Thomas, O. 1895. Descriptions of four small mammals from South America, including one belonging to the peculiar marsupial genus ""Hyracodon"", Tomes. The Annals and magazine of nature history: zoology, botany, and geology being a continuation of the Annals combined with Loudon and Charlesworths Mag, 6(95): 367-370.","Thomas","1919","(requested UNM)","false","NA","",""
"Abrothrix illutea","6048","Thomas","null","spelt &#39;illutea&#39; to match generic gender","{""1837"":1897}","false","null","false","Waterhouse","null","null","null","illutea","null","null","NULL","Patton, J. L., Pardiñas, U. F., & D'Elía, G. (2015). Mammals of south america, volume 2: Rodents (Vol. 2). University of Chicago Press.","null","null","null","null","null","null","null","null","placentalia","placentalia","boreoeutheria","rodents","rodentia","cricetidae","sigmodontinae","abrothrichini","abrothrix","false","","spelt 'illutea' to match generic gender","patton, j. l., pardiñas, u. f., & d'elía, g. (2015). mammals of south america, volume 2: rodents (vol. 2). university of chicago press.","false","neotropics","","","true","400000003","false","","","","","","","","","","false","NA","",""
"Abrothrix jelskii","3593","Thomas","null","NULL","{""1837"":1897}","false","null","false","Waterhouse","null","null","iucn","jelskii","null","null","Jelski&#39;s Altiplano Mouse","NULL","null","null","null","iucn","null","null","null","eutheria","placentalia","placentalia","boreoeutheria","rodents","rodentia","cricetidae","sigmodontinae","abrothrichini","abrothrix","false","","","","false","neotropics","","","true","4804","false","","","","","","","","","","false","NA","",""
"Abrothrix lanosa","6050","Thomas","null","spelt &#39;lanosa&#39; to match generic gender","{""1837"":1897}","false","null","false","Waterhouse","null","null","null","lanosa","null","null","NULL","Patton, J. L., Pardiñas, U. F., & D'Elía, G. (2015). Mammals of south america, volume 2: Rodents (Vol. 2). University of Chicago Press.","null","null","null","null","null","null","null","null","placentalia","placentalia","boreoeutheria","rodents","rodentia","cricetidae","sigmodontinae","abrothrichini","abrothrix","false","","spelt 'lanosa' to match generic gender","patton, j. l., pardiñas, u. f., & d'elía, g. (2015). mammals of south america, volume 2: rodents (vol. 2). university of chicago press.","false","neotropics","","","true","400000004","false","","","","","","","","","","false","NA","",""
"Abrothrix longipilis","3595","Waterhouse","null","NULL","{""1837"":1837}","false","null","false","Waterhouse","null","null","iucn","longipilis","null","null","Long-haired Akodont","NULL","null","null","null","iucn","null","null","null","eutheria","placentalia","placentalia","boreoeutheria","rodents","rodentia","cricetidae","sigmodontinae","abrothrichini","abrothrix","false","","","","false","neotropics","","","true","743","false","","","","","","","","","","false","NA","",""
"Abrothrix manni","3596","D'Elía, Teta, Upham, Pardiñas, & Patterson","null","NULL","{""1837"":2015}","false","null","false","Waterhouse","null","null","newsp","manni","null","null","NULL","NULL","null","null","null","iucn","null","null","null","eutheria","placentalia","placentalia","boreoeutheria","rodents","rodentia","cricetidae","sigmodontinae","abrothrichini","abrothrix","false","","","","false","neotropics","","","true","100000002","true","denovo","D'Elía, Guillermo; Pablo Teta, Nathan S. Upham, Ulyses F. J. Pardiñas & Bruce D. Patterson (2015). ""Description of a new soft-haired mouse, genus Abrothrix (Sigmodontinae), from the temperate Valdivian rainforest"". Journal of Mammalogy 96 (4): 839--853. doi:10.1093/jmammal/gyv103.","D'Elía, Guillermo; Pablo Teta, Nathan S Upham, Ulyses F J Pardiñas & Bruce D Patterson","2015","https://oup.silverchair-cdn.com/oup/backfile/Content public/Journal/jmammal/96/4/10.1093/jmammal/gyv103/2/gyv103.pdf?Expires=1497307402&Signature=crD4axTCK34v~732Tsg1PAwv21RPk4xATT4XKGNZnVLq5y6yqmdbdSbq7Dwoz4fvWA~gX5cOa9WTpXpUGsS~YbbpP1-4VUaeViTODvqvYFKTBuYo4ZSaKBOMhIi3SneFNr8diXIa7cJS~DjdR13HwlZLiNzz-b1wCjjm0qbzRz8ZewpQBqLZvi406KfFYZjpGR5WusSR8FgPUlDOmLH6CT0CslznbARsVQ6LarzE0PZGeBJxsApx~8z4JBS2s2-FYZDZJP8gL~ErlbqKkbKxaYuh-aXw1Qvt2EcAl1fVzjR2FwL76WGiRY14ckpovACA9G61smDm-D5Gi233ITIKHw  &Key-Pair-Id=APKAIUCZBIA4LVPAVW3Q","D'Elía, Guillermo; Pablo Teta, Nathan S. Upham, Ulyses F. J. Pardiñas & Bruce D. Patterson (2015). ""Description of a new soft-haired mouse, genus Abrothrix (Sigmodontinae), from the temperate Valdivian rainforest"". Journal of Mammalogy 96 (4): 839--853. doi:10.1093/jmammal/gyv103.","D'Elía, Teta, Upham, Pardiñas & Patterson","2015","http://www.bioone.org/doi/abs/10.1093/jmammal/gyv103","false","NA","",""
"Abrothrix olivacea","6053","Waterhouse","null","spelt &#39;olivacea&#39; to match generic gender and includes markhami","{""1837"":1837}","false","null","false","Waterhouse","null","null","null","olivacea","null","null","NULL","Patton, J. L., Pardiñas, U. F., & D'Elía, G. (2015). Mammals of south america, volume 2: Rodents (Vol. 2). University of Chicago Press.","null","null","null","null","null","null","null","null","placentalia","placentalia","boreoeutheria","rodents","rodentia","cricetidae","sigmodontinae","abrothrichini","abrothrix","false","","spelt 'olivacea' to match generic gender and includes markhami","patton, j. l., pardiñas, u. f., & d'elía, g. (2015). mammals of south america, volume 2: rodents (vol. 2). university of chicago press.","false","neotropics","","","true","400000005","false","","","","","","","","","","false","NA","",""
